date,percentage_change,constraining,litigious,negative,positive,superfluous,uncertainty,sentiment,p1_percentage_change,p2_percentage_change,p3_percentage_change,p4_percentage_change
13/04/2018,0.060176951,0,0,1,1,0,1,0,-0.001156844,0.028270555,-0.019483248,-0.008878692
14/04/2018,-0.001156844,0,0,0,0,0,0,0,0.028270555,-0.019483248,-0.008878692,0.006227743
15/04/2018,0.028270555,0,0,0,0,0,0,0,-0.019483248,-0.008878692,0.006227743,0.016268539
16/04/2018,-0.019483248,0,0,0,2,0,0,2,-0.008878692,0.006227743,0.016268539,0.032394143
17/04/2018,-0.008878692,0,2,1,0,0,0,-1,0.006227743,0.016268539,0.032394143,0.035714679
18/04/2018,0.006227743,0,1,1,3,0,0,2,0.016268539,0.032394143,0.035714679,0.010180971
19/04/2018,0.016268539,0,0,0,0,0,0,0,0.032394143,0.035714679,0.010180971,4.48E-05
20/04/2018,0.032394143,0,3,0,1,0,0,1,0.035714679,0.010180971,4.48E-05,0.046204709
21/04/2018,0.035714679,0,0,0,0,0,0,0,0.010180971,4.48E-05,0.046204709,-0.015522225
22/04/2018,0.010180971,0,0,0,1,0,0,1,4.48E-05,0.046204709,-0.015522225,-0.033454968
23/04/2018,4.48E-05,0,0,0,1,0,0,1,0.046204709,-0.015522225,-0.033454968,0.034541241
24/04/2018,0.046204709,0,2,0,1,0,0,1,-0.015522225,-0.033454968,0.034541241,0.004208662
25/04/2018,-0.015522225,0,3,4,0,0,0,-4,-0.033454968,0.034541241,0.004208662,0.012499289
26/04/2018,-0.033454968,0,3,2,0,0,1,-2,0.034541241,0.004208662,0.012499289,-0.008837489
27/04/2018,0.034541241,0,0,0,0,0,0,0,0.004208662,0.012499289,-0.008837489,-0.032373049
28/04/2018,0.004208662,0,1,2,0,0,0,-2,0.012499289,-0.008837489,-0.032373049,0.014071303
29/04/2018,0.012499289,0,0,0,0,0,0,0,-0.008837489,-0.032373049,0.014071303,0.032908743
30/04/2018,-0.008837489,0,0,3,3,0,1,0,-0.032373049,0.014071303,0.032908743,0.02407519
01/05/2018,-0.032373049,0,0,0,0,0,0,0,0.014071303,0.032908743,0.02407519,0.017779973
02/05/2018,0.014071303,0,0,2,2,0,0,0,0.032908743,0.02407519,0.017779973,-0.025581862
03/05/2018,0.032908743,0,0,0,1,0,1,1,0.02407519,0.017779973,-0.025581862,-0.027294361
04/05/2018,0.02407519,0,0,0,1,0,0,1,0.017779973,-0.025581862,-0.027294361,-0.010363507
05/05/2018,0.017779973,0,0,0,0,0,0,0,-0.025581862,-0.027294361,-0.010363507,-0.006256662
06/05/2018,-0.025581862,0,1,0,2,0,0,2,-0.027294361,-0.010363507,-0.006256662,0.006488205
07/05/2018,-0.027294361,0,0,0,1,0,0,1,-0.010363507,-0.006256662,0.006488205,-0.061813579
08/05/2018,-0.010363507,0,0,0,0,0,0,0,-0.006256662,0.006488205,-0.061813579,-0.034203405
09/05/2018,-0.006256662,3,1,0,2,0,0,2,0.006488205,-0.061813579,-0.034203405,0.018654867
10/05/2018,0.006488205,1,1,0,1,0,0,1,-0.061813579,-0.034203405,0.018654867,0.003095897
11/05/2018,-0.061813579,0,3,0,0,0,2,0,-0.034203405,0.018654867,0.003095897,0.004833144
12/05/2018,-0.034203405,0,0,0,0,0,0,0,0.018654867,0.003095897,0.004833144,-0.044584909
13/05/2018,0.018654867,0,0,3,0,0,0,-3,0.003095897,0.004833144,-0.044584909,-0.001223895
14/05/2018,0.003095897,0,1,0,0,0,1,0,0.004833144,-0.044584909,-0.001223895,-0.020914709
15/05/2018,0.004833144,0,2,0,0,0,0,0,-0.044584909,-0.001223895,-0.020914709,0.020229398
16/05/2018,-0.044584909,0,0,5,0,0,2,-5,-0.001223895,-0.020914709,0.020229398,0.014046626
17/05/2018,-0.001223895,0,0,0,2,0,0,2,-0.020914709,0.020229398,0.014046626,0.009099876
18/05/2018,-0.020914709,0,0,0,0,0,0,0,0.020229398,0.014046626,0.009099876,-0.03197012
19/05/2018,0.020229398,0,0,0,1,0,0,1,0.014046626,0.009099876,-0.03197012,-0.060798075
20/05/2018,0.014046626,0,0,0,1,0,0,1,0.009099876,-0.03197012,-0.060798075,-0.02788173
21/05/2018,0.009099876,0,0,0,0,0,0,0,-0.03197012,-0.060798075,-0.02788173,-0.005593679
22/05/2018,-0.03197012,0,0,0,0,0,0,0,-0.060798075,-0.02788173,-0.005593679,0.000807582
23/05/2018,-0.060798075,0,0,0,0,0,0,0,-0.02788173,-0.005593679,0.000807582,-0.022154021
24/05/2018,-0.02788173,0,1,1,0,0,0,-1,-0.005593679,0.000807582,-0.022154021,-0.01034982
25/05/2018,-0.005593679,0,0,0,0,0,0,0,0.000807582,-0.022154021,-0.01034982,0.01033568
26/05/2018,0.000807582,0,0,0,0,0,1,0,-0.022154021,-0.01034982,0.01033568,0.016158493
27/05/2018,-0.022154021,0,0,1,1,0,0,0,-0.01034982,0.01033568,0.016158493,0.010670869
28/05/2018,-0.01034982,0,0,0,0,0,0,0,0.01033568,0.016158493,0.010670869,-0.004457001
29/05/2018,0.01033568,0,0,0,0,0,0,0,0.016158493,0.010670869,-0.004457001,0.015169814
30/05/2018,0.016158493,0,2,1,0,0,0,-1,0.010670869,-0.004457001,0.015169814,0.012489745
31/05/2018,0.010670869,0,0,0,3,0,0,3,-0.004457001,0.015169814,0.012489745,-0.01694214
01/06/2018,-0.004457001,0,0,0,0,0,0,0,0.015169814,0.012489745,-0.01694214,-0.009246412
02/06/2018,0.015169814,0,0,0,0,0,0,0,0.012489745,-0.01694214,-0.009246412,0.014573082
03/06/2018,0.012489745,0,0,0,0,0,0,0,-0.01694214,-0.009246412,0.014573082,0.011747439
04/06/2018,-0.01694214,0,0,2,2,0,0,0,-0.009246412,0.014573082,0.011747439,-0.010278054
05/06/2018,-0.009246412,0,1,0,0,0,0,0,0.014573082,0.011747439,-0.010278054,-0.002541448
06/06/2018,0.014573082,0,0,0,0,0,0,0,0.011747439,-0.010278054,-0.002541448,-0.090774437
07/06/2018,0.011747439,0,1,4,1,0,0,-3,-0.010278054,-0.002541448,-0.090774437,-0.031200725
08/06/2018,-0.010278054,0,2,0,1,0,0,1,-0.002541448,-0.090774437,-0.031200725,-0.009085694
09/06/2018,-0.002541448,0,0,0,0,0,0,0,-0.090774437,-0.031200725,-0.009085694,-0.046232349
10/06/2018,-0.090774437,0,0,0,0,0,0,0,-0.031200725,-0.009085694,-0.046232349,0.014724824
11/06/2018,-0.031200725,0,0,1,1,0,0,0,-0.009085694,-0.046232349,0.014724824,0.007904534
12/06/2018,-0.009085694,0,1,0,0,0,0,0,-0.046232349,0.014724824,0.007904534,-0.013228799
13/06/2018,-0.046232349,0,0,0,0,0,0,0,0.014724824,0.007904534,-0.013228799,0.007498317
14/06/2018,0.014724824,0,0,0,0,0,0,0,0.007904534,-0.013228799,0.007498317,0.006459097
15/06/2018,0.007904534,0,3,2,2,0,0,0,-0.013228799,0.007498317,0.006459097,0.026783306
16/06/2018,-0.013228799,0,0,0,0,0,0,0,0.007498317,0.006459097,0.026783306,-0.007771216
17/06/2018,0.007498317,0,0,0,0,0,0,0,0.006459097,0.026783306,-0.007771216,0.007752009
18/06/2018,0.006459097,1,3,5,0,0,0,-5,0.026783306,-0.007771216,0.007752009,-0.071413094
19/06/2018,0.026783306,1,1,1,0,0,0,-1,-0.007771216,0.007752009,-0.071413094,-0.023741555
20/06/2018,-0.007771216,0,3,0,1,0,0,1,0.007752009,-0.071413094,-0.023741555,-0.025041425
21/06/2018,0.007752009,0,0,0,1,0,0,1,-0.071413094,-0.023741555,-0.025041425,0.035013974
22/06/2018,-0.071413094,0,0,0,0,0,0,0,-0.023741555,-0.025041425,0.035013974,-0.003035314
23/06/2018,-0.023741555,0,0,0,0,0,1,0,-0.025041425,0.035013974,-0.003035314,-0.015533294
24/06/2018,-0.025041425,0,0,0,0,0,0,0,0.035013974,-0.003035314,-0.015533294,-0.011761354
25/06/2018,0.035013974,0,0,2,0,0,1,-2,-0.003035314,-0.015533294,-0.011761354,-0.01418401
26/06/2018,-0.003035314,0,1,1,0,0,1,-1,-0.015533294,-0.011761354,-0.01418401,0.06813937
27/06/2018,-0.015533294,0,0,2,0,0,1,-2,-0.011761354,-0.01418401,0.06813937,-0.003347251
28/06/2018,-0.011761354,0,0,3,4,0,0,1,-0.01418401,0.06813937,-0.003347251,0.022477014
29/06/2018,-0.01418401,0,1,2,0,0,0,-2,0.06813937,-0.003347251,0.022477014,0.013434929
30/06/2018,0.06813937,0,0,0,0,0,0,0,-0.003347251,0.022477014,0.013434929,-0.001140817
01/07/2018,-0.003347251,0,0,0,0,0,0,0,0.022477014,0.013434929,-0.001140817,0.000763616
02/07/2018,0.022477014,0,0,1,0,0,2,-1,0.013434929,-0.001140817,0.000763616,-0.005696156
03/07/2018,0.013434929,0,0,0,0,0,0,0,-0.001140817,0.000763616,-0.005696156,0.010869974
04/07/2018,-0.001140817,1,0,2,0,0,0,-2,0.000763616,-0.005696156,0.010869974,0.018166999
05/07/2018,0.000763616,1,1,2,1,0,1,-1,-0.005696156,0.010869974,0.018166999,-0.004630415
06/07/2018,-0.005696156,0,0,2,0,0,0,-2,0.010869974,0.018166999,-0.004630415,-0.040259155
07/07/2018,0.010869974,0,0,0,0,0,0,0,0.018166999,-0.004630415,-0.040259155,-0.01606557
08/07/2018,0.018166999,0,0,1,0,0,0,-1,-0.004630415,-0.040259155,-0.01606557,-0.024539756
09/07/2018,-0.004630415,0,2,1,0,0,0,-1,-0.040259155,-0.01606557,-0.024539756,0.006560045
10/07/2018,-0.040259155,0,2,2,1,0,0,-1,-0.01606557,-0.024539756,0.006560045,0.001033351
11/07/2018,-0.01606557,0,0,0,1,0,0,1,-0.024539756,0.006560045,0.001033351,0.014952137
12/07/2018,-0.024539756,0,0,0,0,0,0,0,0.006560045,0.001033351,0.014952137,0.035530134
13/07/2018,0.006560045,0,3,2,0,0,1,-2,0.001033351,0.014952137,0.035530134,0.067010265
14/07/2018,0.001033351,0,0,0,0,0,0,0,0.014952137,0.035530134,0.067010265,0.051257212
15/07/2018,0.014952137,0,0,0,0,0,0,0,0.035530134,0.067010265,0.051257212,-0.00218892
16/07/2018,0.035530134,2,2,1,3,0,0,2,0.067010265,0.051257212,-0.00218892,0.003826716
17/07/2018,0.067010265,0,2,3,1,0,1,-2,0.051257212,-0.00218892,0.003826716,-0.015095846
18/07/2018,0.051257212,0,0,0,0,0,0,0,-0.00218892,0.003826716,-0.015095846,0.017176903
19/07/2018,-0.00218892,0,0,1,4,0,0,3,0.003826716,-0.015095846,0.017176903,0.029959992
20/07/2018,0.003826716,1,15,8,3,0,0,-5,-0.015095846,0.017176903,0.029959992,0.050330725
21/07/2018,-0.015095846,0,0,0,0,0,0,0,0.017176903,0.029959992,0.050330725,0.018445539
22/07/2018,0.017176903,0,1,0,2,0,0,2,0.029959992,0.050330725,0.018445539,-0.012469504
23/07/2018,0.029959992,0,3,5,5,0,0,0,0.050330725,0.018445539,-0.012469504,-0.015241966
24/07/2018,0.050330725,0,1,0,2,0,1,2,0.018445539,-0.012469504,-0.015241966,0.019006092
25/07/2018,0.018445539,0,0,1,3,0,0,2,-0.012469504,-0.015241966,0.019006092,0.004336002
26/07/2018,-0.012469504,0,2,4,2,0,1,-2,-0.015241966,0.019006092,0.004336002,-0.012681495
27/07/2018,-0.015241966,0,6,2,2,0,0,0,0.019006092,0.004336002,-0.012681495,-0.033252824
28/07/2018,0.019006092,0,0,0,0,0,0,0,0.004336002,-0.012681495,-0.033252824,-0.037064128
29/07/2018,0.004336002,0,0,0,0,0,0,0,-0.012681495,-0.033252824,-0.037064128,0.003110758
30/07/2018,-0.012681495,0,5,3,1,0,0,-2,-0.033252824,-0.037064128,0.003110758,-0.02579815
31/07/2018,-0.033252824,0,4,6,0,0,2,-6,-0.037064128,0.003110758,-0.02579815,-0.034970162
01/08/2018,-0.037064128,2,6,4,2,0,1,-2,0.003110758,-0.02579815,-0.034970162,-0.023015536
02/08/2018,0.003110758,1,1,1,0,0,0,-1,-0.02579815,-0.034970162,-0.023015536,-0.004409829
03/08/2018,-0.02579815,0,3,8,1,0,1,-7,-0.034970162,-0.023015536,-0.004409829,-0.003319559
04/08/2018,-0.034970162,0,0,0,0,0,0,0,-0.023015536,-0.004409829,-0.003319559,-0.079792845
05/08/2018,-0.023015536,0,0,0,0,0,0,0,-0.004409829,-0.003319559,-0.079792845,-0.005191167
06/08/2018,-0.004409829,0,0,1,0,0,0,-1,-0.003319559,-0.079792845,-0.005191167,-0.010396902
07/08/2018,-0.003319559,0,0,0,0,0,0,0,-0.079792845,-0.005191167,-0.010396902,-0.016940885
08/08/2018,-0.079792845,0,1,0,0,0,0,0,-0.005191167,-0.010396902,-0.016940885,0.014674908
09/08/2018,-0.005191167,0,1,1,2,0,2,1,-0.010396902,-0.016940885,0.014674908,0.004898004
10/08/2018,-0.010396902,0,1,0,0,0,0,0,-0.016940885,0.014674908,0.004898004,-0.048770532
11/08/2018,-0.016940885,0,0,0,0,0,0,0,0.014674908,0.004898004,-0.048770532,0.056432736
12/08/2018,0.014674908,0,0,0,0,0,0,0,0.004898004,-0.048770532,0.056432736,-0.009468279
13/08/2018,0.004898004,0,1,0,0,0,0,0,-0.048770532,0.056432736,-0.009468279,0.019908567
