date,open,high,low,close,volume,market_cap,symbol
"Jul 20, 2019",0.059808,0.065132,0.059633,0.062958,71844245,1632319755,ADA
"Jul 19, 2019",0.058772,0.060806,0.056659,0.059787,63433081,1550095096,ADA
"Jul 18, 2019",0.055235,0.059512,0.053556,0.058772,88644360,1523785855,ADA
"Jul 17, 2019",0.051953,0.057911,0.050071,0.055239,97931570,1432188399,ADA
"Jul 16, 2019",0.059516,0.060983,0.050817,0.052052,103254765,1349556308,ADA
"Jul 15, 2019",0.059413,0.0603,0.055501,0.059537,123473435,1543614519,ADA
"Jul 14, 2019",0.066795,0.067184,0.059371,0.059429,101190602,1540824931,ADA
"Jul 13, 2019",0.069805,0.070919,0.064567,0.06677,101320397,1731139938,ADA
"Jul 12, 2019",0.065181,0.070841,0.063617,0.069754,118155306,1808509845,ADA
"Jul 11, 2019",0.071934,0.072011,0.063015,0.065199,118873479,1690414958,ADA
"Jul 10, 2019",0.078012,0.078322,0.069825,0.07194,119999743,1865186732,ADA
"Jul 09, 2019",0.080452,0.080821,0.077354,0.077993,122935384,2022135799,ADA
"Jul 08, 2019",0.079932,0.082259,0.079004,0.080476,114339528,2086510860,ADA
"Jul 07, 2019",0.077346,0.080261,0.076982,0.079964,104984613,2073226940,ADA
"Jul 06, 2019",0.076518,0.08029,0.076289,0.077335,128961683,2005081178,ADA
"Jul 05, 2019",0.077805,0.078091,0.076027,0.076532,116391599,1984253355,ADA
"Jul 04, 2019",0.083007,0.083007,0.077588,0.077774,142713205,2016443989,ADA
"Jul 03, 2019",0.081033,0.083792,0.080197,0.082998,154492407,2151890421,ADA
"Jul 02, 2019",0.0838,0.084598,0.076777,0.081077,180980795,2102087914,ADA
"Jul 01, 2019",0.082098,0.085895,0.080504,0.083822,168654991,2173260576,ADA
"Jun 30, 2019",0.090486,0.091168,0.082098,0.082098,161855807,2128549912,ADA
"Jun 29, 2019",0.089297,0.091089,0.084734,0.090422,169271858,2344378821,ADA
"Jun 28, 2019",0.086482,0.089691,0.08486,0.089295,195954056,2315164002,ADA
"Jun 27, 2019",0.097757,0.099549,0.082644,0.086449,253512191,2241360203,ADA
"Jun 26, 2019",0.096357,0.10691,0.096212,0.09682,340512939,2510251344,ADA
"Jun 25, 2019",0.097813,0.098242,0.093671,0.096357,193143080,2498245357,ADA
"Jun 24, 2019",0.096644,0.09907,0.094098,0.097719,135761451,2533562407,ADA
"Jun 23, 2019",0.094403,0.102144,0.094123,0.096644,245604694,2505704185,ADA
"Jun 22, 2019",0.089629,0.097834,0.089253,0.094367,243264335,2446662674,ADA
"Jun 21, 2019",0.087403,0.091294,0.087403,0.089562,124230175,2322091329,ADA
"Jun 20, 2019",0.089979,0.090263,0.085559,0.087385,159470237,2265640398,ADA
"Jun 19, 2019",0.089155,0.091582,0.088951,0.089979,114753637,2332886412,ADA
"Jun 18, 2019",0.093596,0.093698,0.088721,0.089148,146225453,2311337668,ADA
"Jun 17, 2019",0.092291,0.093908,0.091552,0.093557,158000947,2425666980,ADA
"Jun 16, 2019",0.091695,0.094279,0.090633,0.092321,197578317,2393611254,ADA
"Jun 15, 2019",0.090657,0.092738,0.090485,0.091683,159441139,2377068998,ADA
"Jun 14, 2019",0.089776,0.091249,0.085711,0.090619,205015950,2349495494,ADA
"Jun 13, 2019",0.096331,0.096988,0.088704,0.089739,228176588,2326670250,ADA
"Jun 12, 2019",0.087998,0.096554,0.086493,0.096525,247353618,2502604097,ADA
"Jun 11, 2019",0.085595,0.089169,0.082589,0.087965,152723260,2280666739,ADA
"Jun 10, 2019",0.07943,0.085685,0.07835,0.085537,139307413,2217723086,ADA
"Jun 09, 2019",0.084205,0.084278,0.077631,0.07947,122067718,2060434302,ADA
"Jun 08, 2019",0.085856,0.086594,0.082322,0.084213,126559142,2183393468,ADA
"Jun 07, 2019",0.083406,0.087672,0.082764,0.085807,139056743,2224715557,ADA
"Jun 06, 2019",0.083391,0.083979,0.078934,0.083472,154264121,2164189637,ADA
"Jun 05, 2019",0.082719,0.085117,0.080473,0.083438,118371207,2163295122,ADA
"Jun 04, 2019",0.088447,0.088447,0.079821,0.082486,184181602,2138623824,ADA
"Jun 03, 2019",0.096586,0.098342,0.088472,0.088708,227861801,2299939612,ADA
"Jun 02, 2019",0.090695,0.097519,0.090614,0.096578,187162218,2503977777,ADA
"Jun 01, 2019",0.089462,0.092815,0.086398,0.090533,151835928,2347250771,ADA
"May 31, 2019",0.08451,0.089937,0.081873,0.089441,136542079,2318955942,ADA
"May 30, 2019",0.090832,0.096768,0.081744,0.08451,232348615,2191093156,ADA
"May 29, 2019",0.092874,0.093769,0.086168,0.090867,154832177,2355927837,ADA
"May 28, 2019",0.091549,0.093248,0.087621,0.092815,180587855,2406421935,ADA
"May 27, 2019",0.086038,0.093476,0.085363,0.091695,171736300,2377380307,ADA
"May 26, 2019",0.080502,0.086936,0.078697,0.086014,111190329,2230096452,ADA
"May 25, 2019",0.080869,0.082559,0.079759,0.080502,62522128,2087176301,ADA
"May 24, 2019",0.080725,0.083375,0.078447,0.080869,106320608,2096685245,ADA
"May 23, 2019",0.077914,0.080695,0.074189,0.08069,101768393,2092055880,ADA
"May 22, 2019",0.084603,0.08546,0.07768,0.077955,130856368,2021133888,ADA
"May 21, 2019",0.084844,0.086443,0.082453,0.084617,97465477,2193873581,ADA
"May 20, 2019",0.086962,0.086993,0.080144,0.084848,133738559,2199862357,ADA
"May 19, 2019",0.079063,0.088229,0.078626,0.086996,145752504,2255549028,ADA
"May 18, 2019",0.08326,0.084879,0.078879,0.079104,116482955,2050923758,ADA
"May 17, 2019",0.088207,0.090825,0.076633,0.08326,208531470,2158684320,ADA
"May 16, 2019",0.093996,0.100402,0.084326,0.088161,270983572,2285757763,ADA
"May 15, 2019",0.084562,0.094902,0.083558,0.093951,207490352,2435864142,ADA
"May 14, 2019",0.073016,0.084571,0.072869,0.084505,192076841,2190969359,ADA
"May 13, 2019",0.070086,0.076612,0.06953,0.073072,124764723,1894538319,ADA
