Date,Price,Open,High,Low,Vol.,Change %
"Feb 10, 2014",80.727,80.82,80.84,80.665,10.59K,-0.04%
"Feb 07, 2014",80.758,80.965,81.095,80.63,20.86K,-0.30%
"Feb 06, 2014",81.002,81.16,81.35,80.805,28.10K,-0.16%
"Feb 05, 2014",81.129,81.215,81.345,80.82,24.51K,-0.12%
"Feb 04, 2014",81.224,81.17,81.325,81.075,14.22K,0.14%
"Feb 03, 2014",81.11,81.385,81.42,81.09,20.22K,-0.36%
"Jan 31, 2014",81.403,81.175,81.44,81.08,23.50K,0.26%
"Jan 30, 2014",81.193,80.64,81.245,80.635,24.07K,0.76%
"Jan 29, 2014",80.581,80.71,80.9,80.515,22.06K,-0.09%
"Jan 28, 2014",80.657,80.59,80.845,80.475,13.15K,0.06%
"Jan 27, 2014",80.612,80.53,80.65,80.39,14.36K,0.09%
"Jan 24, 2014",80.541,80.565,80.64,80.22,26.81K,0.02%
"Jan 23, 2014",80.525,81.38,81.4,80.49,34.88K,-0.96%
"Jan 22, 2014",81.305,81.175,81.335,81.075,15.00K,0.10%
"Jan 21, 2014",81.226,81.305,81.525,81.145,25.59K,-0.17%
"Jan 20, 2014",81.362,81.345,81.43,81.175,4.25K,0.00%
"Jan 17, 2014",81.362,81.045,81.43,81.015,21.14K,0.42%
"Jan 16, 2014",81.021,81.185,81.205,80.87,21.42K,-0.15%
"Jan 15, 2014",81.144,80.755,81.255,80.75,23.12K,0.48%
"Jan 14, 2014",80.756,80.67,80.79,80.54,13.17K,0.18%
"Jan 13, 2014",80.611,80.745,80.855,80.56,18.58K,-0.18%
"Jan 10, 2014",80.754,81.085,81.27,80.62,38.73K,-0.47%
"Jan 09, 2014",81.135,81.215,81.33,80.985,28.07K,-0.03%
"Jan 08, 2014",81.162,81.065,81.335,80.98,38.07K,0.22%
"Jan 07, 2014",80.98,80.86,81.105,80.755,24.80K,0.22%
"Jan 06, 2014",80.806,81,81.08,80.69,24.67K,-0.18%
"Jan 03, 2014",80.955,80.765,81.06,80.64,19.02K,0.21%
"Jan 02, 2014",80.788,80.43,80.865,80.43,22.42K,0.62%
"Jan 01, 2014",80.29,80.29,80.29,80.29,-,0.13%
"Dec 31, 2013",80.189,80.105,80.35,80.09,6.60K,0.08%
"Dec 30, 2013",80.122,80.415,80.58,80.055,14.14K,-0.52%
"Dec 27, 2013",80.538,80.6,80.61,79.82,25.25K,-0.14%
