article_date,element_id,word_count,sd,ave_sentiment
2012-09-05,53,603,0.234546757,0.070151237
2012-09-06,54,1221,0.217047746,0.159907625
2012-09-09,55,166,0.134760365,0.00813159
2012-09-11,56,1482,0.220774971,0.199312618
2012-09-16,57,393,0.452990187,-0.048035113
2012-09-19,58,867,0.168328157,0.202701533
2012-09-21,59,673,0.223697673,0.106209496
2012-09-22,60,404,0.284608453,0.116803767
2012-09-26,61,552,0.20035715,0.212264343
2012-10-03,62,626,0.187676134,0.323379205
2012-10-05,63,1349,0.271687512,0.090664218
2012-10-10,64,2686,0.249590572,0.04105775
2012-10-15,65,3000,0.243039154,0.03765937
2012-10-16,66,523,0.243388958,0.003139989
2012-10-17,67,1393,0.296085675,0.276652037
2012-11-03,68,1366,0.228558996,0.116436501
2012-11-06,69,872,0.269517127,0.167337905
2012-11-07,70,193,0.198586007,0.169129585
2012-11-08,71,1501,0.232079743,0.051713282
2012-11-09,72,621,0.187640923,0.146047924
2012-11-14,73,449,0.307143268,0.203341233
2012-11-16,74,720,0.273286777,0.076057403
2012-11-20,75,2024,0.233784221,0.097684683
2012-11-23,76,1697,0.330930749,0.100798937
2012-11-27,77,2005,0.241673478,0.097879156
2012-12-02,78,2150,0.266133635,0.076105832
2012-12-03,79,748,0.236849505,0.264135224
2012-12-05,80,1033,0.274799301,0.010165766
2012-12-06,81,456,0.302467972,0.274532192
2012-12-10,82,1146,0.20224429,0.105370798
2012-12-13,83,854,0.284903028,0.087208457
2012-12-17,84,1251,0.243251388,-0.014994845
2012-12-26,85,2675,0.24153213,0.16938033
2012-12-29,86,700,0.264509073,0.106706061
2013-01-03,87,433,0.309396418,0.164174898
2013-01-04,88,1455,0.202513442,0.056798375
2013-01-08,89,814,0.226732452,0.064857267
2013-01-09,90,1030,0.240017675,0.34315521
2013-01-11,91,1013,0.240577606,0.22045719
2013-02-14,92,998,0.245141202,0.100839097
2013-02-15,93,1163,0.236338383,0.188005656
2013-02-17,94,745,0.273271661,-0.069863391
2013-02-20,95,500,0.333039082,0.28265019
2013-02-22,96,871,0.304743129,0.323997348
2013-02-27,97,5224,0.232961228,0.148179852
2013-02-28,98,1572,0.266255709,0.121152851
2013-03-05,99,761,0.20824095,0.226078037
2013-03-06,100,1249,0.320687863,0.250787001
2013-03-08,101,917,0.24192246,0.135789723
2013-03-12,102,2153,0.304155682,0.084258828
2013-03-13,103,2868,0.272685464,0.033707314
2013-03-19,104,1703,0.258502763,0.156028362
2013-03-25,105,1589,0.266227304,0.232973097
2013-03-27,106,1091,0.346867683,0.090724219
2013-03-28,107,2613,0.289322251,0.160129159
2013-04-01,108,1124,0.309960347,0.101219881
2013-04-02,109,954,0.150088131,0.193312736
2013-04-03,110,1008,0.257911428,0.215137541
2013-04-05,111,843,0.226451075,0.126325161
2013-04-06,112,923,0.239613855,-0.040884687
2013-04-07,113,2103,0.241150666,0.072380816
2013-04-10,114,1701,0.257950564,0.166180996
2013-04-11,115,319,0.168981667,0.204042138
2013-04-13,116,508,0.313797617,0.020731759
2013-04-14,117,3442,0.270865016,0.075520481
2013-04-15,118,3869,0.306641838,0.120646691
2013-04-19,119,707,0.434080986,0.142080668
2013-04-21,120,324,0.29633627,0.18152266
2013-04-22,121,1121,0.285740115,0.131749246
2013-04-23,122,630,0.355556115,0.305713205
2013-04-24,123,1584,0.273585027,0.103883907
2013-04-25,124,799,0.275663229,0.207343976
2013-04-26,125,1354,0.278060397,0.170634827
2013-04-29,126,823,0.291274837,0.09437719
2013-05-01,127,465,0.228197754,0.052735495
2013-05-02,128,920,0.233781101,0.25272969
2013-05-03,129,1860,0.276699281,0.056196193
2013-05-06,130,2967,0.254507183,0.087266767
2013-05-09,131,2300,0.28989078,0.191225466
2013-05-13,132,338,0.212622728,-0.075408648
2013-05-14,133,1293,0.252407854,0.302449582
2013-05-15,134,529,0.219667592,0.277081456
