date,median-confirmation-time
12/03/2019,8.541666667
13/03/2019,9
14/03/2019,7.5
15/03/2019,7.308333333
16/03/2019,4.866666667
17/03/2019,5.541666667
18/03/2019,6.216666667
19/03/2019,6.329166667
20/03/2019,6.55
21/03/2019,8.183333333
22/03/2019,5.983333333
23/03/2019,5.791666667
24/03/2019,5.429166667
25/03/2019,9.058333333
26/03/2019,11.4375
27/03/2019,11.75
28/03/2019,9.2875
29/03/2019,10.25833333
30/03/2019,11.5
31/03/2019,10
01/04/2019,10.38333333
02/04/2019,9.816666667
03/04/2019,10.9375
04/04/2019,12.34166667
05/04/2019,11.58333333
06/04/2019,12.09166667
07/04/2019,9.316666667
08/04/2019,9.758333333
09/04/2019,11.875
10/04/2019,9.925
11/04/2019,8.575
12/04/2019,9.833333333
13/04/2019,9.083333333
14/04/2019,9.854166667
15/04/2019,11.03333333
16/04/2019,9.483333333
17/04/2019,9.995833333
18/04/2019,8.683333333
19/04/2019,9.416666667
20/04/2019,11.53333333
21/04/2019,7.225
22/04/2019,9.425
23/04/2019,11.55416667
24/04/2019,10.38333333
25/04/2019,8.316666667
26/04/2019,9.6
27/04/2019,8.733333333
28/04/2019,6.95
29/04/2019,7.1
30/04/2019,9.429166667
01/05/2019,8.016666667
02/05/2019,6.133333333
03/05/2019,9.533333333
04/05/2019,10.28333333
05/05/2019,9.983333333
06/05/2019,8.616666667
07/05/2019,11.1
08/05/2019,9.854166667
09/05/2019,11.075
10/05/2019,11.65
11/05/2019,12.8375
12/05/2019,7.716666667
13/05/2019,6.933333333
14/05/2019,10.5375
15/05/2019,8.366666667
16/05/2019,10.35416667
17/05/2019,10.53333333
18/05/2019,10.26666667
19/05/2019,7.3
20/05/2019,6.966666667
21/05/2019,8.858333333
22/05/2019,7.633333333
23/05/2019,10.025
24/05/2019,9.016666667
25/05/2019,8.775
26/05/2019,6.85
27/05/2019,8.841666667
28/05/2019,10.00833333
29/05/2019,6.85
30/05/2019,8.666666667
31/05/2019,13.60833333
01/06/2019,10.75
02/06/2019,9.791666667
03/06/2019,15.09166667
04/06/2019,9.3625
05/06/2019,9.008333333
06/06/2019,7.566666667
07/06/2019,8.2875
08/06/2019,12.09166667
09/06/2019,7.783333333
10/06/2019,7.933333333
11/06/2019,10.18333333
12/06/2019,13.18333333
13/06/2019,9.45
14/06/2019,8.658333333
15/06/2019,9.3875
16/06/2019,11.68333333
17/06/2019,11.33333333
18/06/2019,9.533333333
19/06/2019,6.583333333
20/06/2019,8.741666667
21/06/2019,12.25
22/06/2019,12.73333333
23/06/2019,7.15
24/06/2019,6.283333333
25/06/2019,9.275
26/06/2019,7.783333333
27/06/2019,14.025
28/06/2019,14.94166667
29/06/2019,6.683333333
30/06/2019,6.9125
01/07/2019,8.966666667
02/07/2019,9.445833333
03/07/2019,6.8875
04/07/2019,7.516666667
05/07/2019,5.4
06/07/2019,5.229166667
07/07/2019,6.55
08/07/2019,7.766666667
09/07/2019,8.891666667
10/07/2019,13.01666667
11/07/2019,11.04166667
12/07/2019,8.566666667
13/07/2019,8
14/07/2019,6.75
15/07/2019,6.216666667
16/07/2019,7.395833333
17/07/2019,9.333333333
18/07/2019,10.99166667
19/07/2019,14.48333333
20/07/2019,6.691666667
21/07/2019,5.4
22/07/2019,5.945833333
23/07/2019,9.2
24/07/2019,7.933333333
25/07/2019,8.875
26/07/2019,6.566666667
27/07/2019,5.925
28/07/2019,3.65
29/07/2019,5.845833333
30/07/2019,9.358333333
31/07/2019,6.183333333
01/08/2019,8.35
02/08/2019,6.083333333
03/08/2019,4.8
04/08/2019,5.266666667
05/08/2019,10.11666667
06/08/2019,7.166666667
07/08/2019,6.841666667
08/08/2019,11.32083333
09/08/2019,7.95
10/08/2019,5.783333333
11/08/2019,4.9
12/08/2019,7.5
13/08/2019,9.433333333
14/08/2019,7.454166667
15/08/2019,6.233333333
16/08/2019,7.891666667
17/08/2019,7.95
18/08/2019,7.9875
19/08/2019,6.733333333
20/08/2019,7.5
21/08/2019,9.025
22/08/2019,9.866666667
23/08/2019,7.308333333
24/08/2019,6.333333333
25/08/2019,4.933333333
26/08/2019,8.808333333
27/08/2019,8.283333333
