date,BCHAIN.AVBLS,BCHAIN.HRATE,BCHAIN.MIREV,BCHAIN.MKTCP,BCHAIN.NADDU,BCHAIN.TOTBC,BCHAIN.TOUTV
2013-04-15,0.159862214327,61.0283031839,370916,1004410225,80731,11037475,871408.532465
2013-04-16,0.163412761167,69.8011217666,420602,1004826550,79311,11042050,1795688.62981
2013-04-17,0.155839131978,74.5011506642,362002.35771,945556749.538,84698,11046225,1364790.98045
2013-04-18,0.143128950903,72.7166919657,400475,1066353950,72737,11050300,6165997.45685
2013-04-19,0.218420768738,55.7643343295,380032.74,1322210698.5,87326,11053425,2035030.28971
2013-04-20,0.15147427526,64.6866278222,454813.92,1369526213,61190,11057050,1073892.02793
2013-04-21,0.123580362605,77.6239533867,547875,1382675000,59238,11061400,1013491.40385
2013-04-22,0.133409741484,72.2705772911,505793.925,1366749056.75,77777,11065450,1532386.05078
2013-04-23,0.160297951608,70.9322332672,546637.33683,1506338312.73,72900,11069425,1578962.34682
2013-04-24,0.19116481781,78.0700680613,682353.64626,1696508264.02,85420,11073800,2091426.70458
2013-04-25,0.178093664301,70.9322332672,608258.04025,1674073468.78,73729,11077775,1745107.96885
2013-04-26,0.151686879091,76.7317240374,589864.35,1502740452.08,74621,11082075,1223971.53815
2013-04-27,0.141199657752,70.9322332672,514176.04017,1419014510.86,62711,11086050,893994.838996
2013-04-28,0.120677057141,74.5011506642,572109.88793,1508159586.85,107554,11090225,617354.607989
2013-04-29,0.133634577799,80.7467561091,645240.0912,1569907346.89,73687,11094750,897729.201895
2013-04-30,0.176943650982,74.6333901792,525692.911,1543897758.78,60887,11098475,1785923.38873
2013-05-01,0.159959745745,70.6262282904,442507.288,1379976379.6,61672,11102000,1233492.0586
2013-05-02,0.181149747637,72.1289139987,383775.10965,1166088333.17,67744,11105600,1127675.26753
2013-05-03,0.175324790332,73.631599707,346890.6,1034828966.25,70210,11109275,912306.813074
2013-05-04,0.14923261048,77.1378663597,435864.26268,1244556534.99,56115,11113125,552714.557405
2013-05-05,0.150220431291,77.1378663597,458356.35888,1310580293.92,55974,11116975,613475.062548
2013-05-06,0.153041371539,81.6459234846,498918.70875,1345090886.29,64381,11121050,794309.095708
2013-05-07,0.159965954044,88.1575615539,474770.45,1188309314.5,89457,11125450,1023330.9609
2013-05-08,0.146846139358,81.6459234846,469929.84124,1268209485.05,95352,11129525,806731.721056
2013-05-09,0.177025145795,83.1486091929,462130.57572,1219822578.86,70728,11133675,693721.255125
2013-05-10,0.187101461216,83.649504429,498374.8,1310702188,72244,11137850,914238.402404
2013-05-11,0.183977121626,87.6566663178,512145.2,1285812765,67240,11142225,706784.944378
2013-05-12,0.17285727383,89.1593520261,515468.88,1274287886,61435,11146675,613817.456838
2013-05-13,0.156985081567,100.101885268,535813.5888,1310296293,65440,11151175,995953.369658
2013-05-14,0.191748002759,81.7498729686,443751,1327427150,68323,11154850,778189.97234
2013-05-15,0.202390865404,81.7498729686,428204.10276,1283062885.54,70212,11158525,825250.573498
2013-05-16,0.199357138009,80.6376297989,423762.26368,1284654522.42,67246,11162150,708868.277621
2013-05-17,0.172505307642,89.5355751561,512027.37,1390077125.75,64560,11166175,751659.735726
2013-05-18,0.158997717358,81.7498729686,459607.3143,1382268379.01,55716,11169850,890106.519811
2013-05-19,0.137607493958,85.6427240623,471151.04176,1352646555.84,51111,11173700,465511.572902
2013-05-20,0.158913011136,76.7447787052,429152.38499,1370877559.27,56966,11177150,469681.090151
2013-05-21,0.1712911209,82.8621161382,461457.5,1369657187.5,63976,11180875,669674.33826
2013-05-22,0.150650621897,92.3161830802,515701.2,1371731466,65369,11185025,761102.617926
2013-05-23,0.155341089142,89.5355751561,512482.26,1406127913.5,65171,11189050,669637.355513
2013-05-24,0.154722001817,90.0916967409,537966.5,1471892650,67558,11193100,733232.760889
2013-05-25,0.148436069489,103.913692158,577864.95,1485783006,60147,11197400,865063.361449
2013-05-26,0.126502516847,97.2680490551,543560.62555,1501517528.99,52307,11201425,391310.153811
2013-05-27,0.142933867698,103.913692158,576455.53959,1485990856.08,59395,11205725,504337.019136
2013-05-28,0.152959976667,97.8721984281,526629.384,1438449537.78,56871,11209775,790756.391391
2013-05-29,0.150170224054,101.497094666,552544.72494,1457591797.66,66689,11213975,771923.007658
2013-05-30,0.157768678383,102.101244039,559483.44619,1469538093.2,63212,11218200,630011.588855
2013-05-31,0.141768301687,112.37178338,598246.70256,1429125799.45,62386,11222850,738730.71909
2013-06-01,0.122364164603,119.621575857,644576.05605,1450625584.71,59033,11227800,499558.632543
2013-06-02,0.116701612286,123.246472095,620381.47192,1354720652.4,50677,11232900,437429.079839
2013-06-03,0.116384501663,126.26721896,632880.10548,1348575224.76,58321,11238125,643729.254666
2013-06-04,0.127920418694,126.871368333,640691.07182,1355575833.58,63518,11243375,730847.337379
2013-06-05,0.127096289455,156.703562082,625490.061,1376864586.97,67477,11248425,674394.727126
2013-06-06,0.142015408934,138.085317082,542260.08014,1358109258.69,60098,11252875,762431.292358
2013-06-07,0.154354865507,124.897393541,448349.21565,1241579898.07,60504,11256900,716027.769499
2013-06-08,0.12644918192,130.327714999,457611,1213946580,51054,11261100,428601.405288
2013-06-09,0.124418801176,129.55195479100001,414659.06495000003,1109296698.62,45062,11265275,642064.629145
2013-06-10,0.103996112612,139.636837499,475927.22434,1182971489.79,48672,11269775,491518.550798
2013-06-11,0.124763217839,136.533796666,480276,1217610900,57169,11274175,569521.547653
2013-06-12,0.103890504837,155.152041666,545461.01643,1219978239.14,52722,11279175,600093.883646
2013-06-13,0.0996600580957,149.721720207,530067,1229956000,53645,11284000,533607.001973
2013-06-14,0.12481771513500001,133.430755832,433800,1128830000,60855,11288300,741296.841692
2013-06-15,0.104579513723,136.533796666,452440.80126,1151516393.15,52008,11292700,509157.724804
2013-06-16,0.0934666771302,145.067158957,470400,1129737500,37955,11297375,458689.591168
2013-06-17,0.121433710123,148.049400446,390540.44085,1136058016.38,45693,11301225,557268.802313
2013-06-18,0.140300979353,140.358522501,395839.50314,1214030413.2,48967,11304875,600799.737558
2013-06-19,0.163297370911,120.169967895,340866.435,1219398180,55778,11308000,639946.24255
2013-06-20,0.148688838906,140.358522501,415632.64,1266565450.5,54530,11311650,664640.982155
2013-06-21,0.14012800338,166.315235566,486180,1256073225,58295,11315975,808002.230281
2013-06-22,0.111183754233,165.353875823,473996.05,1234928799.75,49708,11320275,453784.512603
2013-06-23,0.099417144602,169.199314796,478116.4716,1219485056.99,41462,11324675,363194.718085
2013-06-24,0.126782844117,137.474443272,368313.32832,1155134402.42,48326,11328250,519400.881322
2013-06-25,0.132571858329,142.281241987,388045.8044,1177011684.47,50770,11331950,729778.864356
2013-06-26,0.103714584674,181.696991457,497284.11095,1183612922.21,54518,11336675,647186.410645
2013-06-27,0.125443223011,159.585717364,429970.61183,1165723515.16,51936,11340825,595242.990964
2013-06-28,0.126948651813,161.50843685,410408.76006,1096326263.97,53524,11345025,582637.004606
2013-06-29,0.110869348419,170.754179026,388204.6905,1087840603.14,55499,11349050,599896.387348
2013-06-30,0.0887400348012,173.935933914,397483.5,1095578975,41271,11353150,421917.862971
2013-07-01,0.0984449261933,162.269499323,350888.288,1033462011.05,49206,11356975,702652.262859
2013-07-02,0.118212517659,166.511839174,354797.1,1017368595,56769,11360900,858590.71967
2013-07-03,0.0863032095773,185.602368506,364651.2,941044770,53642,11365275,744097.361618
2013-07-04,0.0874781496385,180.299443692,340825.8,907288095,53347,11369525,887100.576397
2013-07-05,0.0887788513959,187.723538432,302512.92552,771818503.638,47699,11373950,964524.838527
2013-07-06,0.0847712577657,199.389973024,328076.02062,789064090.473,46957,11378650,845854.810616
2013-07-07,0.0720904804169,198.329388061,332859.864,807555842.15,37506,11383325,670229.727541
2013-07-08,0.0880019639128,197.268803098,363432.84,884162379,47647,11387975,684014.095254
2013-07-09,0.0916995670072,213.177577541,386219.2246,869603878.63,54846,11393000,1087300.05304
2013-07-10,0.100574604949,181.360028655,338011.24599,895700331.002,55835,11397275,1218489.97585
2013-07-11,0.0945592770974,249.708212058,421195.95,993690836.25,56988,11402075,956221.102451
2013-07-12,0.138466216579,214.592994737,406554.6,1115526360,69663,11406200,1134412.88772
2013-07-13,0.123121293175,196.385104275,364781,1095300550.12,57072,11409975,881201.15867
2013-07-14,0.0952460809719,211.991867528,389043.5,1081481237.5,38740,11414050,694343.801057
2013-07-15,0.097696008738,222.396376364,422816.43768,1123279548.81,46589,11418325,605676.645716
2013-07-16,0.103534861309,213.292431133,401039.34,1108089449.25,53761,11422425,906868.49648
2013-07-17,0.101769492471,219.795249155,417156.26,1119468900.5,54355,11426650,1104177.14437
2013-07-18,0.105887601542,223.696939968,391160.84327,1033357994.31,54308,11430950,965209.821065
2013-07-19,0.0957881995207,219.795249155,397743.27156,1068169073.59,48100,11435175,872196.437075
2013-07-20,0.076951898993,243.205394035,431456.74,1051064818.38,44457,11439850,567387.924464
2013-07-21,0.0855443074153,253.609902871,435894.89099,1017893727.05,43487,11444725,505908.066565
2013-07-22,0.0889993985494,279.682550204,414973.548,1050901464.3,46082,11449225,866111.17252
2013-07-23,0.121219437698,225.299832109,348767.776,1092556078.6,54206,11452850,1029842.14766
2013-07-24,0.11551596282400001,239.283959619,363439.0512,1072594584.72,54521,11456700,844442.524836
2013-07-25,0.138774816137,212.869496544,332755.8,1102464025,51978,11460125,777831.892904
2013-07-26,0.105780285396,276.574966313,431077.322,1105124840.98,55955,11464575,869402.177016
2013-07-27,0.0957575711337,256.375671021,395575.15455,1091873110.71,42750,11468700,533718.336343
2013-07-28,0.0836667906767,275.021174368,439956.04444,1135839489.73,37554,11473125,475543.786781
2013-07-29,0.120026513755,257.929462966,422355.6436,1159687050.1,54397,11477275,801401.498917
2013-07-30,0.0937530517578,287.451509932,475057.70676,1170005380.36,55581,11481900,881026.573102
2013-07-31,0.121260767606,309.20459717,526876.861,1205611283.41,69550,11486875,1031238.99555
2013-08-01,0.110432702142,287.451509932,485108.64,1197299385,82370,11491500,1103374.37768
2013-08-02,0.122306959253,295.22046966,505450.5,1212854375,84776,11496250,906937.487932
2013-08-03,0.117874475831,332.726003145,467411.44503,1193775370.01,53305,11500725,738992.073676
2013-08-04,0.116464955068,317.85556725,450833.45913,1204281157.95,46413,11505000,501888.051747
2013-08-05,0.107996582985,356.890461474,513592.8,1224642720,57924,11509800,795629.125369
2013-08-06,0.118079881819,351.314048013,509301.2117,1230715956.9,61468,11514525,749616.265632
2013-08-07,0.136743269183,327.149589684,467808,1216398480,64048,11518925,805001.560942
2013-08-08,0.119592709116,375.478506342,519588.1,1174293052.5,61019,11523975,785257.108572
2013-08-09,0.107874237574,386.631333263,536563.5,1179434602.5,57904,11529175,640799.004245
2013-08-10,0.113582457729,369.902092882,513500.57208,1183611635.38,52564,11534150,517153.942519
2013-08-11,0.082055631085,397.784160184,559024.60383,1198377190.39,43679,11539500,432494.389627
2013-08-12,0.103160966432,425.666227487,603616.14002,1212190667.97,70581,11545225,731015.442241
2013-08-13,0.138530060649,484.95276558,518146.09836,1239304284.47,75208,11550025,1196357.3343
2013-08-14,0.145777894305,388.972530726,389416.79,1155734116.25,60659,11553875,1405350.26745
2013-08-15,0.163725384695,421.807874228,416608.92,1135925154,66433,11558050,923708.574895
2013-08-16,0.165451787239,434.436852499,428025.95,1139007098.5,69457,11562350,1099833.80928
2013-08-17,0.130394374623,472.32378731,462826.56,1138079589.75,58546,11567025,983013.861818
2013-08-18,0.114381136628,497.58174385,492030.38,1145854489,42791,11571950,831928.947317
2013-08-19,0.165978056661,449.591626423,457988.09,1181603148,65506,11576400,1086202.69595
2013-08-20,0.160356326656,457.169013385,477976.3,1211248945.75,69460,11580925,955506.83403
2013-08-21,0.129443511222,520.313904737,568944,1271571731.25,70761,11586075,1186924.10213
2013-08-22,0.123600813059,525.365496045,581359.37,1286747437.75,70737,11591275,890014.517465
2013-08-23,0.122729310324,543.046065623,581466.8,1246407942,68764,11596650,828835.101168
2013-08-24,0.124880518965,607.932298581,508919.62,1262105427,54649,11601300,622248.642033
2013-08-25,0.139371011641,467.388810199,407004.5,1310190387.5,48105,11604875,565019.388274
2013-08-26,0.147914552981,532.757874563,458603.6,1297880610,57471,11608950,642473.937222
2013-08-27,0.158273946407,562.173953526,511329.52,1364789140,71151,11613250,895651.783455
2013-08-28,0.163275433158,545.831687435,526846.5,1385377931.25,72494,11617425,817469.698324
2013-08-29,0.125775346852,647.153737199,596683.12,1388641365,67844,11622375,2687667.89329
2013-08-30,0.136290977911,634.079924326,610597.47,1450961407.75,72629,11627225,727229.976175
2013-08-31,0.104151960861,702.717441908,717779.25,1544227650,82290,11632600,753757.547583
2013-09-01,0.0910910700893,725.596614435,729321.5,1522502783,49046,11638150,1064159.23048
2013-09-02,0.090653232818,768.086506271,775828.63,1525716595.75,52118,11644025,748660.793428
2013-09-03,0.128158976581,604.663845362,607244.75,1519566392.5,54757,11648650,894041.010826
2013-09-04,0.124783965363,751.934693043,554360.76,1476901220,58274,11653000,895742.785135
2013-09-05,0.151025573169,704.398591759,511611.59,1451422408.25,63542,11657075,858463.127898
2013-09-06,0.139508558574,821.078113093,585630.52,1427873853,57620,11661825,838119.747745
2013-09-07,0.140841279293,704.398591759,492855.3,1401657885,56635,11665900,667774.7839
2013-09-08,0.129339211739,643.898099215,444056.97,1382967258.75,43712,11669625,409117.852337
2013-09-09,0.120213735907,834.042504353,590659.3,1420313587,53474,11674450,527143.176101
2013-09-10,0.12247766987,803.792258081,577218.42,1441084149,55161,11679100,1092297.07519
2013-09-11,0.104208153872,868.614214378,626456.8,1449999912.5,58672,11684125,806718.318408
2013-09-12,0.107846791928,898.86446065,671022.8,1501493796.25,65300,11689325,663689.950261
2013-09-13,0.100459121522,907.507388156,676858.04,1500297026.75,59829,11694575,734589.310499
2013-09-14,0.0932886379736,933.436170675,673938.72,1454540892,48712,11699975,606148.193252
2013-09-15,0.114646192457,1024.57958056,576990.54,1468452843,42924,11704550,410950.214061
2013-09-16,0.126248664405,946.196443251,536089.08,1475539825.5,52304,11708775,585717.368026
2013-09-17,0.166820580003,990.986807429,575933.4,1494135792,61057,11713200,672793.433465
2013-09-18,0.181919394739,845.418123852,518843.94,1490750729.25,65538,11716975,788617.129887
2013-09-19,0.127231167524,1091.76512683,618762.6,1454681585,66398,11721850,785082.704198
2013-09-20,0.128709778267,1080.56753578,602542.8,1453873166.5,65306,11726675,793416.423007
2013-09-21,0.12242565563,1046.97476265,580573.5,1448821725,58758,11731350,522574.764806
2013-09-22,0.108690122956,1153.35187757,635632.06,1441007470,53993,11736500,458740.47062
2013-09-23,0.116038529582,1237.33381041,684114.22,1444503915.5,62037,11742025,783517.9985
2013-09-24,0.135476956913,1125.35789996,619815.04,1440070859.5,65845,11747050,1095771.97406
2013-09-25,0.113200013883,1583.13830535,668088.4,1459413032,66539,11752400,842440.858517
2013-09-26,0.140398744951,1265.03107577,532926.55,1456064198.75,63157,11756675,717166.137073
2013-09-27,0.125307500362,1302.02028851,562939.2,1477191020,66494,11761075,718883.773393
2013-09-28,0.11765684719,1265.03107577,544203,1488316775,60434,11765350,592862.756836
2013-09-29,0.110355433964,1242.83754813,540453.9,1507679355,54587,11769550,560375.158304
2013-09-30,0.115464972287,1213.24617793,519050.8,1481125170,61734,11773650,691501.317434
2013-10-01,0.121152950793,1449.97713948,627414.96,1497171490.5,69975,11778550,1039752.25784
2013-10-02,0.165003407208,1279.82676087,455489.2,1230956951.25,77571,11782875,1095329.72889
2013-10-03,0.139478788926,1538.75125006,612818,1378615371.25,72720,11788075,1108953.94783
2013-10-04,0.132432337557,1316.81597361,546926,1438688050,64698,11792525,829560.591738
2013-10-05,0.100734335551,1560.94477771,644124.51,1433550678,55710,11797800,550816.631705
2013-10-06,0.100938712016,1900.66283139,616633.6,1435226560,48783,11802850,410691.014928
2013-10-07,0.130531641393,1439.61095645,476725.2,1459305030,58652,11806675,595294.066475
2013-10-08,0.127260581041,1467.83862226,484957.44,1462621608,60475,11810575,707716.71271
2013-10-09,0.115927836934,1721.88761458,579968,1489654112,69133,11815150,862761.019523
2013-10-10,0.133234385955,1834.79827783,620012.72,1494405760.75,65216,11820025,824938.138114
2013-10-11,0.130256862964,1665.43228295,564818.52,1499813238,67974,11824450,870771.617504
2013-10-12,0.111741099866,1853.61672171,632166.21,1508600193.75,58649,11829375,715254.465812
2013-10-13,0.106077319149,2154.71182371,746783.44,1535485874,57180,11835100,637885.77989
2013-10-14,0.104910979899,2427.5792599,878457.06,1606779919.5,74721,11841550,963077.954961
2013-10-15,0.102441226282,2333.48704052,869693.04,1649680710,70171,11847750,822209.765628
