Date,Price,Open,High,Low,Change %
"Oct 02, 2020",1898.7,1905.65,1917.28,1889.57,-0.33%
"Oct 01, 2020",1905.05,1885.8,1912.09,1884.48,1.04%
"Sep 30, 2020",1885.44,1897.81,1902.39,1881.31,-0.65%
"Sep 29, 2020",1897.69,1881.4,1899.24,1875.56,0.90%
"Sep 28, 2020",1880.85,1859,1883.39,1849.19,1.12%
"Sep 25, 2020",1860.05,1868.61,1875.28,1852.59,-0.43%
"Sep 24, 2020",1868.04,1863.42,1877.3,1848.45,0.24%
"Sep 23, 2020",1863.55,1900.2,1905.56,1855.77,-1.88%
"Sep 22, 2020",1899.28,1912.8,1919.99,1894.93,-0.69%
"Sep 21, 2020",1912.57,1949.55,1955.75,1883.21,-1.90%
"Sep 18, 2020",1949.69,1943.87,1960.2,1941.79,0.37%
"Sep 17, 2020",1942.6,1959.99,1963.48,1932.99,-0.85%
"Sep 16, 2020",1959.32,1956.19,1973.63,1949.89,0.19%
"Sep 15, 2020",1955.52,1957.31,1972.35,1948.64,-0.04%
"Sep 14, 2020",1956.37,1941.05,1962.52,1937.46,0.77%
"Sep 11, 2020",1941.5,1955.2,1957.95,1937.42,-0.64%
"Sep 10, 2020",1954.07,1946.06,1966.5,1941.42,0.38%
"Sep 09, 2020",1946.66,1932.26,1950.95,1920.2,0.81%
"Sep 08, 2020",1930.93,1930.05,1940.84,1906.67,0.11%
"Sep 07, 2020",1928.82,1931.24,1941.44,1924.57,-0.19%
"Sep 04, 2020",1932.45,1931.51,1942.25,1916.67,0.10%
"Sep 03, 2020",1930.52,1943.06,1951.19,1921.99,-0.62%
"Sep 02, 2020",1942.62,1969.75,1974.45,1932.76,-1.40%
"Sep 01, 2020",1970.14,1967.63,1992.38,1963.2,0.02%
"Aug 31, 2020",1969.75,1965.4,1976.47,1954.58,0.27%
"Aug 28, 2020",1964.49,1930.04,1973.91,1923.7,1.84%
"Aug 27, 2020",1928.91,1953.31,1976.6,1910.22,-1.26%
"Aug 26, 2020",1953.45,1929.07,1954.98,1902.77,1.32%
"Aug 25, 2020",1927.94,1933.06,1937.69,1914.42,-0.23%
"Aug 24, 2020",1932.45,1939.24,1961.89,1924.01,-0.36%
"Aug 21, 2020",1939.4,1947.44,1956.08,1911.65,-0.16%
"Aug 20, 2020",1942.6,1929.53,1955.44,1925.12,0.68%
"Aug 19, 2020",1929.54,2001.19,2006.68,1924.82,-3.57%
"Aug 18, 2020",2000.95,1985.89,2015.45,1977.84,0.73%
"Aug 17, 2020",1986.45,1947.04,1990.65,1929.74,2.20%
"Aug 14, 2020",1943.76,1953.7,1962.84,1932.65,-0.48%
"Aug 13, 2020",1953.03,1920.9,1966.43,1912.93,1.84%
"Aug 12, 2020",1917.82,1912,1949.45,1864.3,0.34%
"Aug 11, 2020",1911.25,2027.34,2032.19,1901.69,-5.72%
"Aug 10, 2020",2027.26,2034.19,2050.01,2019.41,-0.36%
"Aug 07, 2020",2034.62,2065.11,2073.41,2015.55,-1.38%
"Aug 06, 2020",2063.19,2040.4,2069.77,2034.71,1.17%
"Aug 05, 2020",2039.4,2018.98,2055.68,2009.77,1.06%
"Aug 04, 2020",2018.07,1976.99,2019.88,1968.5,2.06%
"Aug 03, 2020",1977.26,1980.98,1985.28,1960.4,0.07%
"Jul 31, 2020",1975.9,1960.51,1980.45,1955.4,0.79%
"Jul 30, 2020",1960.5,1970.9,1971.87,1939.67,-0.52%
"Jul 29, 2020",1970.73,1959.6,1980.8,1944.97,0.57%
"Jul 28, 2020",1959.51,1942.64,1981.22,1907.7,0.88%
"Jul 27, 2020",1942.42,1899.99,1945.71,1899.73,2.15%
"Jul 24, 2020",1901.46,1887.34,1906.54,1881.56,0.74%
"Jul 23, 2020",1887.44,1872.39,1898.4,1862.8,0.82%
"Jul 22, 2020",1872.07,1842.2,1872.64,1840.75,1.62%
"Jul 21, 2020",1842.22,1815.89,1843.89,1815.57,1.44%
"Jul 20, 2020",1816.09,1809.58,1820.73,1805.6,0.34%
"Jul 17, 2020",1809.9,1797.3,1812.03,1795.11,0.71%
"Jul 16, 2020",1797.05,1811.9,1813.74,1795.02,-0.82%
"Jul 15, 2020",1811.9,1807.8,1814.79,1802.72,0.23%
"Jul 14, 2020",1807.79,1803.19,1811.03,1791.46,0.24%
"Jul 13, 2020",1803.39,1799.01,1813.45,1798.01,0.25%
"Jul 10, 2020",1798.9,1802.13,1810.76,1794.28,-0.24%
"Jul 09, 2020",1803.19,1811.3,1816.26,1795.82,-0.42%
"Jul 08, 2020",1810.78,1795.27,1818.13,1791.62,0.86%
"Jul 07, 2020",1795.26,1783.91,1797.59,1773.79,0.64%
"Jul 06, 2020",1783.9,1776.31,1787.09,1770.13,0.50%
"Jul 03, 2020",1775.05,1774.77,1777.43,1772.48,-0.06%
"Jul 02, 2020",1776.14,1769.6,1779.83,1757.68,0.33%
"Jul 01, 2020",1770.31,1781.6,1789.48,1759.27,-0.64%
"Jun 30, 2020",1781.67,1771.9,1786.02,1765.35,0.53%
"Jun 29, 2020",1772.28,1773.74,1775.72,1765.78,0.05%
"Jun 26, 2020",1771.47,1761.82,1772.12,1747.67,0.55%
"Jun 25, 2020",1761.81,1760.32,1769.04,1755.49,-0.04%
"Jun 24, 2020",1762.43,1768.99,1779.61,1760.8,-0.29%
"Jun 23, 2020",1767.54,1755.26,1771.25,1747.43,0.69%
"Jun 22, 2020",1755.44,1748.78,1763.42,1743.27,0.68%
"Jun 19, 2020",1743.61,1723.69,1745.36,1721.18,1.20%
"Jun 18, 2020",1722.99,1726.3,1737.17,1717.57,-0.23%
"Jun 17, 2020",1727.04,1727.71,1730.41,1713.22,-0.02%
"Jun 16, 2020",1727.46,1725.55,1733.12,1716.43,0.11%
"Jun 15, 2020",1725.53,1732.32,1734.53,1704.31,-0.30%
"Jun 12, 2020",1730.8,1728.34,1743.16,1722.57,0.19%
"Jun 11, 2020",1727.51,1737.01,1744.92,1721.58,-0.55%
"Jun 10, 2020",1737.1,1714.8,1740.06,1708.47,1.31%
"Jun 09, 2020",1714.57,1700.49,1721.04,1692.2,0.98%
"Jun 08, 2020",1697.96,1684.65,1700.9,1677.52,0.72%
"Jun 05, 2020",1685.83,1711.81,1717.25,1670.74,-1.52%
"Jun 04, 2020",1711.83,1699.89,1721.62,1696.9,0.78%
"Jun 03, 2020",1698.64,1728.1,1733.8,1689.54,-1.70%
"Jun 02, 2020",1727.96,1740.34,1745.26,1721.4,-0.71%
"Jun 01, 2020",1740.33,1738.05,1744.84,1727.26,0.70%
"May 29, 2020",1728.3,1721.7,1737.71,1712.53,0.52%
"May 28, 2020",1719.4,1709.04,1727.52,1707.11,0.59%
"May 27, 2020",1709.26,1712.47,1716.37,1693.82,-0.19%
"May 26, 2020",1712.45,1728.82,1736.07,1708.3,-0.99%
"May 25, 2020",1729.57,1734.61,1736.01,1721.45,-0.37%
"May 22, 2020",1736.07,1725.26,1740.07,1723.62,0.56%
"May 21, 2020",1726.33,1749.52,1751.01,1717.1,-1.32%
"May 20, 2020",1749.5,1745.92,1754.77,1741.89,0.25%
"May 19, 2020",1745.11,1732.31,1748.76,1725.66,0.74%
"May 18, 2020",1732.32,1743.01,1765.94,1727.2,-0.61%
"May 15, 2020",1743,1730.52,1752.13,1727.93,0.71%
"May 14, 2020",1730.65,1715.63,1737.41,1710.51,0.85%
"May 13, 2020",1715.99,1702.5,1719.02,1698.81,0.78%
"May 12, 2020",1702.72,1697.04,1711.79,1693.17,0.32%
"May 11, 2020",1697.35,1702.65,1712.64,1691.59,-0.31%
"May 08, 2020",1702.65,1717.46,1723.91,1701.06,-0.89%
"May 07, 2020",1717.94,1686.08,1723.06,1683.5,1.90%
"May 06, 2020",1685.89,1707.51,1709.34,1682.28,-1.25%
"May 05, 2020",1707.17,1700.82,1712.9,1691.45,0.32%
"May 04, 2020",1701.69,1699,1712.57,1691.84,0.08%
"May 01, 2020",1700.41,1685.95,1706.53,1670.06,0.91%
"Apr 30, 2020",1685.05,1712.27,1723.17,1680.64,-1.60%
"Apr 29, 2020",1712.39,1708.3,1717.76,1697.55,0.22%
"Apr 28, 2020",1708.64,1715.31,1716.04,1691.63,-0.40%
"Apr 27, 2020",1715.57,1726.15,1727.93,1705.68,-0.80%
"Apr 24, 2020",1729.43,1731.57,1737.44,1710.21,-0.12%
"Apr 23, 2020",1731.58,1713.56,1739.74,1706.26,0.98%
"Apr 22, 2020",1714.82,1687.1,1719.65,1680.09,1.65%
"Apr 21, 2020",1687.02,1694.11,1698.6,1661.39,-0.42%
"Apr 20, 2020",1694.11,1692.25,1703.46,1671.49,0.56%
"Apr 17, 2020",1684.69,1715.99,1719.12,1679.37,-1.96%
"Apr 16, 2020",1718.4,1716.46,1739.17,1707.88,0.11%
"Apr 15, 2020",1716.6,1728.8,1732.27,1707.71,-0.76%
"Apr 14, 2020",1729.7,1712.34,1747.85,1708.55,0.90%
"Apr 13, 2020",1714.32,1685.69,1723.88,1674.87,1.45%
"Apr 10, 2020",1689.9,1676,1697.5,1676,0.35%
"Apr 09, 2020",1684.07,1646.08,1691.17,1643.1,2.28%
"Apr 08, 2020",1646.52,1647.59,1657.69,1641.94,-0.15%
"Apr 07, 2020",1648.95,1663.03,1673.55,1641.89,-0.85%
"Apr 06, 2020",1663,1597.5,1669.97,1597.5,2.75%
"Apr 03, 2020",1618.45,1615.09,1626.07,1606.3,0.29%
"Apr 02, 2020",1613.79,1590.52,1621.15,1579.04,1.18%
"Apr 01, 2020",1595.05,1571,1603.41,1566.97,1.51%
"Mar 31, 2020",1571.31,1618.49,1626.27,1566.23,-3.20%
"Mar 30, 2020",1623.3,1622,1639.61,1608.72,-0.01%
"Mar 27, 2020",1623.5,1632.38,1637.86,1612.22,-0.54%
"Mar 26, 2020",1632.39,1617.25,1647.28,1595.84,1.15%
"Mar 25, 2020",1613.79,1628.19,1643.05,1587.2,-0.51%
"Mar 24, 2020",1622.03,1553.71,1638.72,1553.41,4.39%
"Mar 23, 2020",1553.81,1508.15,1561.48,1485.1,3.71%
"Mar 20, 2020",1498.24,1470.54,1516.25,1460.3,1.85%
"Mar 19, 2020",1471,1485.9,1501.05,1464.18,-1.03%
"Mar 18, 2020",1486.3,1527.7,1546.22,1472.86,-2.77%
"Mar 17, 2020",1528.57,1512.45,1553.26,1465.81,0.92%
"Mar 16, 2020",1514.61,1550.55,1573.49,1451.5,-0.99%
"Mar 13, 2020",1529.7,1576.95,1597.72,1506.86,-3.00%
"Mar 12, 2020",1577.08,1634.8,1650.47,1561.01,-3.54%
"Mar 11, 2020",1635.03,1649.69,1671.13,1632.97,-0.87%
"Mar 10, 2020",1649.36,1679.1,1680.53,1642.15,-1.84%
"Mar 09, 2020",1680.2,1694.4,1702.96,1657.74,0.36%
"Mar 06, 2020",1674.23,1670.58,1692.1,1648.12,0.22%
"Mar 05, 2020",1670.61,1635.91,1674.69,1635.07,2.13%
"Mar 04, 2020",1635.83,1639.76,1651.65,1632.06,-0.24%
"Mar 03, 2020",1639.77,1590.77,1649.55,1587.86,3.08%
"Mar 02, 2020",1590.73,1591.1,1611.03,1579.7,0.35%
"Feb 28, 2020",1585.13,1642.15,1649.48,1565.86,-3.48%
"Feb 27, 2020",1642.35,1640.55,1660.57,1635.65,0.15%
"Feb 26, 2020",1639.96,1635.37,1655.09,1625.79,0.28%
"Feb 25, 2020",1635.38,1660.72,1660.86,1629.1,-1.53%
"Feb 24, 2020",1660.72,1659.05,1689.11,1652.37,1.04%
"Feb 21, 2020",1643.7,1619.69,1649.15,1618.94,1.48%
"Feb 20, 2020",1619.7,1611.71,1623.79,1603.98,0.50%
"Feb 19, 2020",1611.64,1601.85,1613.04,1599.53,0.61%
"Feb 18, 2020",1601.92,1583.44,1605.45,1583.09,1.32%
"Feb 17, 2020",1581.1,1584.7,1584.81,1578.6,-0.23%
"Feb 14, 2020",1584.7,1576.3,1585.05,1573.12,0.53%
"Feb 13, 2020",1576.39,1565.62,1578.24,1565.53,0.69%
"Feb 12, 2020",1565.63,1567.73,1570.59,1561.8,-0.13%
"Feb 11, 2020",1567.71,1572.09,1574.17,1562.29,-0.29%
"Feb 10, 2020",1572.3,1570.29,1577.23,1568.01,0.13%
"Feb 07, 2020",1570.29,1566.86,1574.18,1562.39,0.22%
"Feb 06, 2020",1566.85,1556.95,1568.55,1552.46,0.65%
"Feb 05, 2020",1556.7,1552.56,1562.5,1547.4,0.27%
"Feb 04, 2020",1552.56,1576.4,1579.57,1549.14,-1.52%
"Feb 03, 2020",1576.45,1590.2,1591.84,1571.29,-0.86%
"Jan 31, 2020",1590.2,1574.18,1590.21,1570.84,1.02%
"Jan 30, 2020",1574.21,1577.09,1586.16,1572.65,-0.18%
"Jan 29, 2020",1577.12,1566.19,1578.04,1563.21,0.69%
"Jan 28, 2020",1566.24,1581.95,1583.27,1565.65,-0.99%
"Jan 27, 2020",1581.94,1580.1,1586.81,1575.81,0.72%
"Jan 24, 2020",1570.65,1563.3,1576.01,1556.42,0.47%
"Jan 23, 2020",1563.32,1558.93,1568.17,1551.68,0.28%
"Jan 22, 2020",1558.92,1558.03,1559.63,1550.08,0.06%
"Jan 21, 2020",1558.02,1560.94,1568.75,1546.41,-0.23%
"Jan 20, 2020",1561.58,1558.65,1563,1556.39,0.32%
"Jan 17, 2020",1556.61,1552.9,1561.45,1549.36,0.25%
"Jan 16, 2020",1552.79,1556.18,1558.19,1548.05,-0.22%
"Jan 15, 2020",1556.19,1546.4,1558.44,1546.11,0.63%
"Jan 14, 2020",1546.37,1548.31,1548.95,1536.12,-0.12%
"Jan 13, 2020",1548.3,1562.29,1562.3,1546.77,-0.89%
"Jan 10, 2020",1562.28,1552.4,1563.27,1545.52,0.64%
"Jan 09, 2020",1552.37,1555.76,1561.67,1540.18,-0.22%
"Jan 08, 2020",1555.81,1573.99,1611.15,1552.23,-1.15%
"Jan 07, 2020",1573.99,1565.93,1577.53,1555.29,0.51%
"Jan 06, 2020",1565.96,1561.15,1583.44,1560.9,0.92%
"Jan 03, 2020",1551.65,1528.95,1553.7,1528,1.49%
"Jan 02, 2020",1528.94,1517.24,1531.55,1517.22,0.77%
"Jan 01, 2020",1517.3,1517.24,1517.48,1517.19,-0.01%
"Dec 31, 2019",1517.4,1515.22,1525.45,1514.66,0.14%
"Dec 30, 2019",1515.22,1511.8,1516.54,1510.43,0.30%
"Dec 27, 2019",1510.67,1511.55,1515.47,1507.05,-0.06%
"Dec 26, 2019",1511.55,1499.42,1512.77,1497.66,0.80%
"Dec 25, 2019",1499.55,1499.55,1499.55,1499.55,0.00%
"Dec 24, 2019",1499.56,1485.57,1500.77,1484.41,0.95%
"Dec 23, 2019",1485.52,1478.2,1486.29,1477.51,0.50%
"Dec 20, 2019",1478.2,1479.14,1481.26,1475.7,-0.06%
"Dec 19, 2019",1479.15,1475.44,1481.97,1473.01,0.25%
"Dec 18, 2019",1475.44,1476.45,1479.67,1470.32,-0.07%
"Dec 17, 2019",1476.45,1476.25,1480.78,1474.23,0.01%
"Dec 16, 2019",1476.25,1475.6,1480.03,1472.99,0.03%
"Dec 13, 2019",1475.81,1469.47,1478.22,1462.48,0.43%
"Dec 12, 2019",1469.43,1474.85,1486.95,1464.78,-0.37%
"Dec 11, 2019",1474.85,1464.19,1479.04,1462.59,0.73%
"Dec 10, 2019",1464.21,1461.93,1469.36,1459.8,0.15%
"Dec 09, 2019",1461.99,1459.49,1465.8,1458.76,0.15%
"Dec 06, 2019",1459.76,1475.7,1477.45,1458.61,-1.08%
"Dec 05, 2019",1475.7,1474.34,1480.72,1472.9,0.09%
"Dec 04, 2019",1474.35,1477.34,1484.55,1471.39,-0.20%
"Dec 03, 2019",1477.34,1462.5,1482.22,1459.39,1.02%
"Dec 02, 2019",1462.44,1467.03,1467.03,1453.91,-0.16%
"Nov 29, 2019",1464.8,1455.9,1466.81,1452.93,0.44%
"Nov 28, 2019",1458.34,1456.77,1458.57,1454.37,0.27%
"Nov 27, 2019",1454.35,1461.65,1462.11,1452.45,-0.50%
"Nov 26, 2019",1461.6,1454.98,1462.97,1450.63,0.46%
"Nov 25, 2019",1454.97,1462.29,1462.41,1453.89,-0.50%
"Nov 22, 2019",1462.29,1464.4,1473.3,1461.23,-0.14%
"Nov 21, 2019",1464.4,1471.25,1475.98,1462.6,-0.47%
"Nov 20, 2019",1471.25,1472.39,1479.15,1465.88,-0.08%
"Nov 19, 2019",1472.38,1470.85,1475.72,1464.6,0.10%
"Nov 18, 2019",1470.85,1467.66,1474.3,1456.26,0.24%
"Nov 15, 2019",1467.37,1471.2,1471.49,1462.28,-0.26%
"Nov 14, 2019",1471.2,1463.18,1474.62,1460.93,0.55%
"Nov 13, 2019",1463.19,1457.19,1467.36,1455.96,0.41%
"Nov 12, 2019",1457.19,1455.79,1460.55,1445.61,0.09%
"Nov 11, 2019",1455.9,1458.96,1466.77,1448.28,-0.19%
"Nov 08, 2019",1458.66,1468.01,1473.33,1456.28,-0.64%
"Nov 07, 2019",1468.07,1490.44,1492.48,1461.24,-1.50%
"Nov 06, 2019",1490.46,1484.1,1494.46,1482.45,0.43%
"Nov 05, 2019",1484.1,1509.64,1510.1,1479.65,-1.69%
"Nov 04, 2019",1509.63,1513.8,1514.97,1504.33,-0.29%
"Nov 01, 2019",1513.95,1513.32,1515.81,1503.31,0.04%
"Oct 31, 2019",1513.35,1496.4,1514.53,1493.72,1.20%
"Oct 30, 2019",1495.4,1487.6,1496.91,1481.21,0.52%
"Oct 29, 2019",1487.6,1492.69,1495.16,1483.72,-0.34%
"Oct 28, 2019",1492.69,1504.34,1508.58,1489.86,-0.80%
"Oct 25, 2019",1504.73,1504.75,1518.07,1500.56,0.07%
"Oct 24, 2019",1503.65,1492.15,1504.27,1488.02,0.77%
"Oct 23, 2019",1492.1,1488.35,1496.5,1487.62,0.27%
"Oct 22, 2019",1488.05,1484.52,1489.29,1480.87,0.24%
"Oct 21, 2019",1484.5,1492.02,1495.48,1481.91,-0.38%
"Oct 18, 2019",1490.1,1492.17,1494.26,1484.82,-0.12%
"Oct 17, 2019",1491.89,1490.55,1497.5,1483.45,0.14%
"Oct 16, 2019",1489.77,1481.13,1491.65,1477.06,0.58%
"Oct 15, 2019",1481.17,1493.2,1498.17,1477.53,-0.79%
"Oct 14, 2019",1492.9,1488.9,1497.38,1482.82,0.20%
"Oct 11, 2019",1489.85,1494.44,1503.45,1474.28,-0.30%
"Oct 10, 2019",1494.3,1505.6,1517.08,1491.42,-0.76%
"Oct 09, 2019",1505.7,1506.05,1511.6,1499.7,0.01%
"Oct 08, 2019",1505.51,1493.55,1508.71,1487.45,0.80%
"Oct 07, 2019",1493.6,1504.76,1509.64,1489.94,-0.73%
"Oct 04, 2019",1504.6,1505.19,1511.17,1497.15,-0.03%
"Oct 03, 2019",1505,1499.55,1518.81,1495.99,0.37%
"Oct 02, 2019",1499.51,1479.19,1505.11,1474.42,1.39%
"Oct 01, 2019",1478.98,1472.3,1487.37,1459,0.46%
"Sep 30, 2019",1472.25,1497.07,1500.5,1464.42,-1.65%
"Sep 27, 2019",1496.94,1506,1507.7,1487.04,-0.59%
"Sep 26, 2019",1505.8,1503.94,1512.7,1501.97,0.11%
"Sep 25, 2019",1504.15,1532,1535.42,1501.31,-1.84%
"Sep 24, 2019",1532.3,1522.4,1535.85,1515.8,0.67%
"Sep 23, 2019",1522.11,1516.66,1527.25,1511.5,0.33%
"Sep 20, 2019",1517.15,1499.4,1517.24,1497.9,1.20%
"Sep 19, 2019",1499.2,1494,1504.35,1488.9,0.35%
"Sep 18, 2019",1493.9,1501.55,1511.32,1484.36,-0.61%
"Sep 17, 2019",1503.1,1498.85,1507.48,1493.36,0.29%
"Sep 16, 2019",1498.8,1503.34,1512.2,1495.75,0.68%
"Sep 13, 2019",1488.7,1498.5,1509.25,1485.73,-0.68%
"Sep 12, 2019",1498.95,1497.5,1523.96,1488.8,0.09%
"Sep 11, 2019",1497.6,1486.45,1498.56,1485,0.75%
"Sep 10, 2019",1486.4,1499,1501.45,1484.27,-0.84%
"Sep 09, 2019",1498.95,1507.1,1515.55,1497.72,-0.53%
"Sep 06, 2019",1506.95,1519.2,1527.9,1502.89,-0.82%
"Sep 05, 2019",1519.35,1552.5,1553.38,1509.39,-2.14%
"Sep 04, 2019",1552.6,1547.1,1557.38,1533.81,0.36%
"Sep 03, 2019",1547,1529.6,1549.9,1521.51,1.07%
"Sep 02, 2019",1530.59,1520.1,1533.81,1519.15,0.68%
"Aug 30, 2019",1520.25,1527.6,1533.45,1517.43,-0.49%
"Aug 29, 2019",1527.7,1539.2,1550.72,1519.5,-0.74%
"Aug 28, 2019",1539.1,1541.8,1547.03,1531.55,-0.23%
"Aug 27, 2019",1542.65,1526.3,1544.78,1524.85,1.07%
"Aug 26, 2019",1526.35,1539.3,1555.13,1524.55,-0.03%
"Aug 23, 2019",1526.85,1499,1530.11,1493.05,1.87%
"Aug 22, 2019",1498.8,1502.2,1504.68,1491.85,-0.23%
"Aug 21, 2019",1502.3,1507.7,1508.4,1496.15,-0.32%
"Aug 20, 2019",1507.1,1495.6,1508.6,1492.85,0.79%
"Aug 19, 2019",1495.3,1511.15,1513,1492.65,-1.24%
"Aug 16, 2019",1514.15,1523.9,1527.75,1504.2,-0.59%
"Aug 15, 2019",1523.2,1517.05,1527,1508.22,0.45%
"Aug 14, 2019",1516.33,1501.38,1524.3,1494.34,1.00%
"Aug 13, 2019",1501.39,1510.74,1534.75,1481.38,-0.66%
"Aug 12, 2019",1511.41,1497.65,1517.95,1487.91,0.95%
"Aug 09, 2019",1497.24,1501.2,1508.4,1494.69,-0.25%
"Aug 08, 2019",1500.95,1501.5,1509.72,1490.08,-0.02%
"Aug 07, 2019",1501.2,1474.25,1510.28,1472.28,1.83%
"Aug 06, 2019",1474.27,1464,1475.04,1456.61,0.72%
"Aug 05, 2019",1463.8,1440.65,1470.05,1437.03,1.60%
"Aug 02, 2019",1440.7,1445.8,1448.23,1430.2,-0.32%
"Aug 01, 2019",1445.31,1411.34,1445.98,1400.65,2.23%
"Jul 31, 2019",1413.8,1431.05,1433.07,1411.42,-1.19%
"Jul 30, 2019",1430.85,1426.84,1433.12,1422.12,0.27%
"Jul 29, 2019",1426.94,1419.49,1428.46,1416.98,0.58%
"Jul 26, 2019",1418.69,1414.4,1424.83,1413.72,0.29%
"Jul 25, 2019",1414.53,1426.3,1433.84,1411.08,-0.80%
"Jul 24, 2019",1425.9,1417.55,1429.55,1416.43,0.60%
"Jul 23, 2019",1417.39,1425.15,1429.25,1414.29,-0.54%
"Jul 22, 2019",1425.12,1425.15,1429.77,1422.34,-0.01%
"Jul 19, 2019",1425.3,1446.4,1452.96,1420.4,-1.45%
"Jul 18, 2019",1446.3,1426.8,1448.35,1414.68,1.37%
"Jul 17, 2019",1426.8,1406.59,1427,1400.18,1.46%
"Jul 16, 2019",1406.33,1415.05,1418.34,1401.23,-0.55%
"Jul 15, 2019",1414.08,1415.75,1419.75,1407.69,-0.12%
"Jul 12, 2019",1415.74,1403.9,1417.09,1403.12,0.84%
"Jul 11, 2019",1404,1419.2,1426.21,1401.58,-1.06%
"Jul 10, 2019",1419,1397.8,1419.21,1389.88,1.51%
"Jul 09, 2019",1397.9,1395.6,1400.13,1386.35,0.17%
"Jul 08, 2019",1395.5,1400.05,1408.03,1391.79,-0.32%
"Jul 05, 2019",1399.95,1415.8,1424.24,1386.97,-1.11%
"Jul 04, 2019",1415.65,1419.59,1422.02,1410.43,-0.23%
"Jul 03, 2019",1418.94,1419.95,1436.29,1412.52,0.03%
"Jul 02, 2019",1418.44,1383.55,1419.8,1383.55,2.47%
"Jul 01, 2019",1384.31,1392.83,1397.69,1381.84,-1.79%
"Jun 28, 2019",1409.5,1409.56,1424.67,1406.64,-0.01%
"Jun 27, 2019",1409.68,1409.55,1411.94,1400.23,0.07%
"Jun 26, 2019",1408.75,1423.9,1424.03,1402.37,-1.02%
"Jun 25, 2019",1423.25,1419.17,1438.99,1412.3,0.26%
"Jun 24, 2019",1419.55,1401.35,1421.2,1400.33,1.47%
"Jun 21, 2019",1399.05,1388.22,1411.08,1382.44,0.78%
"Jun 20, 2019",1388.18,1360.34,1393.3,1357.66,2.05%
"Jun 19, 2019",1360.27,1346.55,1362.5,1341.19,1.02%
"Jun 18, 2019",1346.48,1340.3,1354.68,1338.54,0.52%
"Jun 17, 2019",1339.54,1342.05,1343.53,1332.83,-0.15%
"Jun 14, 2019",1341.58,1341.7,1358.4,1337.88,-0.06%
"Jun 13, 2019",1342.35,1334,1343.41,1332.22,0.66%
"Jun 12, 2019",1333.55,1327.05,1338.58,1326.04,0.50%
"Jun 11, 2019",1326.91,1328.4,1330.22,1319.74,-0.09%
"Jun 10, 2019",1328.13,1335.94,1337.77,1324.9,-0.94%
"Jun 07, 2019",1340.7,1335.45,1348.45,1330.08,0.39%
