date,open,high,low,close,volume_btc,volume_currency,weighted_price
2019-12-05,7199.58,7500,7150.06,7390.42,4641.75678879,34104243.98869,7347.270772793
2019-12-06,7397.35,7618.99,7305.56,7541.79,4167.2401632,31009940.793551,7441.3615676374
2019-12-07,7535.46,7638.88,7486.7,7502.65,2034.573719,15354337.772391,7546.7099712355
2019-12-08,7505.86,7580,7382.69,7524.26,1798.77041268,13485555.31355,7497.0964712824
2019-12-09,7516.8,7666,7268.03,7340.52,6582.47031165,48984901.863981,7441.7201361752
2019-12-10,7332.05,7400,7150.23,7216.07,4090.62092926,29794651.283435,7283.6500371657
2019-12-11,7224.5,7271,7122.28,7207.42,3419.93896517,24643079.620446,7205.707432624
2019-12-12,7208.95,7296.19,7072.2,7188.42,4376.88899274,31435190.583024,7182.0854116167
2019-12-13,7185.15,7302.35,7179.65,7257.47,3178.07849595,22970960.445359,7227.939924905
2019-12-14,7255.94,7269,7007.48,7059.03,2012.34890643,14334264.585467,7123.1507317966
2019-12-15,7066.35,7225.23,7007,7115.08,1848.34572822,13129364.518732,7103.3055765905
2019-12-16,7115.08,7147.91,6820,6882.19,5923.05547919,41353720.352223,6981.8222195479
2019-12-17,6882.08,6938.77,6550,6612.3,7107.25638535,47895327.080767,6738.9333497933
2019-12-18,6619.53,7449.68,6425,7286.91,12873.63439214,87907793.923074,6828.5140967453
2019-12-19,7286.91,7372.12,7000,7149.57,5936.55634536,42356210.923048,7134.8115740793
2019-12-20,7157.53,7218.11,7072.61,7194.11,3201.66392251,22903428.007258,7153.6015526896
2019-12-21,7194.13,7194.13,7109.73,7147.4,1689.08199513,12063083.600675,7141.7987021683
2019-12-22,7147.4,7530,7124.52,7509.7,3796.22608082,27923854.897393,7355.68807097
2019-12-23,7521.88,7692.98,7247.86,7316.17,6710.7673604,50266006.270905,7490.3514861092
2019-12-24,7317.47,7431.1,7156,7251.52,4194.58980335,30637380.177725,7304.0229471918
2019-12-25,7247.45,7266.81,7110.73,7195.79,1504.52751296,10824576.025385,7194.6680483685
2019-12-26,7195.8,7432,7150,7188.3,3116.74715162,22627576.212285,7259.9973984171
